NNID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NET NAME,AlexNet,MobileNet,GoogLeNet,MobileNet,MobileNet,VGG16,VGG16,Automatic Speech Recognition,MobileNet,GoogLeNet,Sentiment Analysis,VGG16,VGG16,MobileNet,GoogLeNet,MobileNet
ISOLATED,6473174,25908806,11872941,25908806,25908806,77632839,77632839,13464275,25908806,11872941,4489906,77632839,77632839,25908806,11872941,25908806
PRIORITY,1,0,1,2,1,2,1,0,1,0,2,2,2,1,1,2
DISPATCHED,0,2973038,4666847,533148,3608164,7793063,636495,370220,7263673,7801264,6181559,7464025,7755668,7220916,619341,3232253
ESTIMATED,307188,1419697,291425,1419697,1419697,3555583,3555583,1,1419697,291425,1,3555583,3555583,1419697,291425,1419697
RUNNED,1697533,1866807,814379,1866817,1866775,6149844,6150356,8080263,1866807,814258,3029049,6149844,6150358,1866807,814312,1866807
WAITED,900505,37316651,1,1978698,4613927,7896224,21202636,41786276,2825193,42435495,1,20525462,26383663,4734757,1,10590227
ELAPSED,2598038,39183458,814380,3845515,6480702,14046068,27352992,49866539,4692000,43249753,3029050,26675306,32534021,6601564,814313,12457034
SWITCHED,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1
SLA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PREMA,DYNAMIC
ANTT,0.7926920995647337,STP,70.26237467275004,FAIRNESS,0.00011403567619577011
