NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,MobileNet,Sentiment Analysis,VGG16,GoogLeNet,MobileNet,Sentiment Analysis,MobileNet
ISOLATED,6473174,25908806,4489906,77632839,11872941,25908806,4489906,25908806
PRIORITY,2,1,2,1,2,2,1,2
DISPATCHED,0,3196610,3301838,3059859,3545194,3149304,331312,2433222
ESTIMATED,307188,1419697,1,3555583,291425,1419697,1,1419697
RUNNED,1696722,1867100,4910199,6150381,815041,1867235,4913497,1867433
WAITED,2710667,10712787,14844442,14877369,4329807,10150001,15720169,9519773
ELAPSED,4407389,12579887,19754641,21027750,5144848,12017236,20633666,11387206
SWITCHED,11,14,30,31,5,12,30,12
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,1.4711622382499507,STP,14.404019636692233,FAIRNESS,0.02052079533706373
