NNID,1,2,3,4,5,6,7,8
NET NAME,AlexNet,Machine Translation,Sentiment Analysis,AlexNet,AlexNet,Machine Translation,Sentiment Analysis,MobileNet
ISOLATED,6473174,10717761,4489906,6473174,6473174,10717761,4489906,25908806
PRIORITY,2,2,1,0,2,2,1,1
DISPATCHED,0,1733463,2406393,1504281,1939475,2206372,287026,2558528
ESTIMATED,1114704,1,1,1114704,1114704,1,1,5045956
RUNNED,6469737,5135945,2375100,6473683,6467609,5141744,2373340,25909804
WAITED,31546848,27535145,15750001,32409195,31958529,29293629,11460166,31878631
ELAPSED,38016585,32671090,18125101,38882878,38426138,34435373,13833506,57788435
SWITCHED,3,30,15,1,38,30,15,1
SLA,True,True,True,True,True,True,True,True
"algo_str, mecha_str"
ANTT,4.178187631833282,STP,2.1651257821213936,FAIRNESS,0.11243179779809716
